segment,stimulus_id,respondent_idx,n_samples,P1,P2,P3,P4,P5,E
molodye_mamy_posle_rodov,rtb1,1,2,0.061803,0.219804,0.092098,0.321600,0.304694,3.587578
molodye_mamy_posle_rodov,rtb1,2,2,0.066560,0.301766,0.248372,0.347781,0.035521,2.983937
molodye_mamy_posle_rodov,rtb1,3,2,0.081549,0.301470,0.199906,0.332713,0.084362,3.036869
molodye_mamy_posle_rodov,rtb1,4,2,0.048245,0.230183,0.290436,0.387730,0.043407,3.147870
molodye_mamy_posle_rodov,rtb1,5,2,0.026738,0.233545,0.230885,0.461782,0.047050,3.268862
molodye_mamy_posle_rodov,rtb1,6,2,0.124344,0.329857,0.229428,0.304955,0.011416,2.749244
molodye_mamy_posle_rodov,rtb1,7,2,0.077610,0.265367,0.085082,0.299991,0.271950,3.423305
molodye_mamy_posle_rodov,rtb1,8,2,0.017893,0.282839,0.168402,0.389530,0.141336,3.353578
molodye_mamy_posle_rodov,rtb1,9,2,0.096650,0.296123,0.220881,0.352841,0.033505,2.930426
molodye_mamy_posle_rodov,rtb1,10,2,0.032041,0.171511,0.126908,0.398643,0.270897,3.704844
molodye_mamy_posle_rodov,rtb2,1,2,0.214652,0.311472,0.266329,0.205461,0.002085,2.468856
molodye_mamy_posle_rodov,rtb2,2,2,0.142770,0.299520,0.248582,0.241468,0.067660,2.791729
molodye_mamy_posle_rodov,rtb2,3,2,0.162341,0.331770,0.243003,0.260656,0.002231,2.608665
molodye_mamy_posle_rodov,rtb2,4,2,0.056815,0.291283,0.241883,0.381550,0.028469,3.033577
molodye_mamy_posle_rodov,rtb2,5,2,0.033246,0.208758,0.272394,0.416937,0.068664,3.279016
molodye_mamy_posle_rodov,rtb2,6,2,0.224977,0.406831,0.198222,0.156597,0.013374,2.326559
molodye_mamy_posle_rodov,rtb2,7,2,0.152714,0.379729,0.210186,0.251247,0.006124,2.578338
molodye_mamy_posle_rodov,rtb2,8,2,0.232283,0.433222,0.153341,0.174576,0.006578,2.289945
molodye_mamy_posle_rodov,rtb2,9,2,0.165405,0.318950,0.237103,0.275429,0.003113,2.631894
