segment,stimulus_id,respondent_idx,sample_idx,P1,P2,P3,P4,P5,E
molodye_mamy_posle_rodov,rtb1,1,1,0.120712,0.184964,0.028865,0.250551,0.414908,3.653980
molodye_mamy_posle_rodov,rtb1,1,2,0.002895,0.254645,0.155331,0.392650,0.194480,3.521176
molodye_mamy_posle_rodov,rtb1,2,1,0.061565,0.320723,0.260760,0.336211,0.020741,2.933841
molodye_mamy_posle_rodov,rtb1,2,2,0.071555,0.282809,0.235984,0.359351,0.050301,3.034034
molodye_mamy_posle_rodov,rtb1,3,1,0.112535,0.385337,0.123459,0.256080,0.122589,2.890851
molodye_mamy_posle_rodov,rtb1,3,2,0.050563,0.217603,0.276353,0.409345,0.046136,3.182887
molodye_mamy_posle_rodov,rtb1,4,1,0.018536,0.195224,0.308823,0.424247,0.053171,3.298293
molodye_mamy_posle_rodov,rtb1,4,2,0.077955,0.265141,0.272048,0.351213,0.033643,2.997448
molodye_mamy_posle_rodov,rtb1,5,1,0.006935,0.207508,0.248033,0.471800,0.065723,3.381868
molodye_mamy_posle_rodov,rtb1,5,2,0.046540,0.259582,0.213737,0.451764,0.028377,3.155856
molodye_mamy_posle_rodov,rtb1,6,1,0.150108,0.363000,0.208256,0.275972,0.002664,2.618084
molodye_mamy_posle_rodov,rtb1,6,2,0.098579,0.296714,0.250600,0.333939,0.020168,2.880404
molodye_mamy_posle_rodov,rtb1,7,1,0.057200,0.232125,0.111268,0.321744,0.277664,3.530546
molodye_mamy_posle_rodov,rtb1,7,2,0.098019,0.298610,0.058896,0.278238,0.266237,3.316063
molodye_mamy_posle_rodov,rtb1,8,1,0.026593,0.316289,0.173082,0.399993,0.084044,3.198607
molodye_mamy_posle_rodov,rtb1,8,2,0.009193,0.249389,0.163722,0.379067,0.198628,3.508549
molodye_mamy_posle_rodov,rtb1,9,1,0.111073,0.310327,0.237870,0.309947,0.030783,2.839041
molodye_mamy_posle_rodov,rtb1,9,2,0.082228,0.281919,0.203893,0.395734,0.036226,3.021811
molodye_mamy_posle_rodov,rtb1,10,1,0.035439,0.228195,0.088823,0.430398,0.217145,3.565614
molodye_mamy_posle_rodov,rtb1,10,2,0.028643,0.114828,0.164992,0.366887,0.324650,3.844074
molodye_mamy_posle_rodov,rtb2,1,1,0.147834,0.297788,0.289250,0.262771,0.002357,2.674029
molodye_mamy_posle_rodov,rtb2,1,2,0.281470,0.325156,0.243408,0.148152,0.001813,2.263683
molodye_mamy_posle_rodov,rtb2,2,1,0.004124,0.243801,0.333041,0.314641,0.104393,3.271380
molodye_mamy_posle_rodov,rtb2,2,2,0.281417,0.355238,0.164123,0.168296,0.030927,2.312079
