segment,stimulus_id,respondent_idx,n_samples,P1,P2,P3,P4,P5,E
naturalniki_bez_khimii,BL1,1,2,0.069313,0.234023,0.159553,0.407196,0.129915,3.294378
naturalniki_bez_khimii,BL1,2,2,0.223478,0.317909,0.113040,0.175194,0.170379,2.751087
naturalniki_bez_khimii,BL1,3,2,0.095002,0.247837,0.212752,0.392559,0.051850,3.058418
naturalniki_bez_khimii,BL1,4,2,0.095152,0.261783,0.111867,0.384286,0.146912,3.226022
naturalniki_bez_khimii,BL2,1,2,0.160257,0.353575,0.177393,0.274591,0.034184,2.668869
naturalniki_bez_khimii,BL2,2,2,0.188769,0.340704,0.207246,0.260593,0.002687,2.547724
naturalniki_bez_khimii,BL2,3,2,0.080481,0.255426,0.237910,0.406183,0.020000,3.029795
naturalniki_bez_khimii,BL2,4,2,0.036968,0.252542,0.194648,0.466951,0.048891,3.238256
naturalniki_bez_khimii,BL3,1,2,0.322212,0.456691,0.045807,0.077578,0.097712,2.171886
naturalniki_bez_khimii,BL3,2,2,0.295736,0.398992,0.085386,0.124429,0.095456,2.324877
naturalniki_bez_khimii,BL3,3,2,0.237440,0.408471,0.044653,0.207367,0.102069,2.528155
naturalniki_bez_khimii,BL3,4,2,0.333951,0.434780,0.066139,0.146288,0.018842,2.081289
naturalniki_bez_khimii,BL4,1,2,0.378287,0.401238,0.140551,0.077719,0.002206,1.924319
naturalniki_bez_khimii,BL4,2,2,0.409119,0.382236,0.161272,0.036730,0.010642,1.857541
naturalniki_bez_khimii,BL4,3,2,0.381860,0.352009,0.161276,0.054297,0.050558,2.039685
naturalniki_bez_khimii,BL4,4,2,0.419601,0.403955,0.102055,0.019375,0.055014,1.886246
naturalniki_bez_khimii,BL5,1,2,0.288599,0.442038,0.093953,0.167814,0.007596,2.163771
naturalniki_bez_khimii,BL5,2,2,0.227137,0.402660,0.081361,0.223425,0.065417,2.497325
naturalniki_bez_khimii,BL5,3,2,0.274663,0.410554,0.122803,0.181519,0.010462,2.242564
naturalniki_bez_khimii,BL5,4,2,0.268526,0.422194,0.086812,0.185765,0.036702,2.299922
razocharovannye_veterany,BL1,1,2,0.231835,0.382327,0.139515,0.204576,0.041747,2.442074
razocharovannye_veterany,BL1,2,2,0.258589,0.361231,0.166039,0.211374,0.002767,2.338499
razocharovannye_veterany,BL1,3,2,0.281484,0.334561,0.133112,0.171631,0.079213,2.432527
razocharovannye_veterany,BL1,4,2,0.247419,0.357607,0.162210,0.216502,0.016262,2.396580
razocharovannye_veterany,BL2,1,2,0.124252,0.263376,0.139424,0.403468,0.069480,3.030548
razocharovannye_veterany,BL2,2,2,0.085683,0.284675,0.190182,0.385865,0.053595,3.037013
razocharovannye_veterany,BL2,3,2,0.154145,0.234285,0.150233,0.246249,0.215088,3.133851
razocharovannye_veterany,BL2,4,2,0.062470,0.255943,0.071182,0.425484,0.184921,3.414444
razocharovannye_veterany,BL3,1,2,0.320312,0.355658,0.015020,0.167141,0.141869,2.454599
razocharovannye_veterany,BL3,2,2,0.347301,0.433469,0.040646,0.132282,0.046302,2.096814
razocharovannye_veterany,BL3,3,2,0.379261,0.404782,0.017219,0.098564,0.100174,2.135608
razocharovannye_veterany,BL3,4,2,0.333432,0.436886,0.083343,0.137937,0.008402,2.050992
razocharovannye_veterany,BL4,1,2,0.344043,0.361482,0.181642,0.106919,0.005914,2.069177
razocharovannye_veterany,BL4,2,2,0.368454,0.315386,0.120645,0.123223,0.072292,2.215512
razocharovannye_veterany,BL4,3,2,0.343572,0.347108,0.190957,0.107832,0.010531,2.094643
razocharovannye_veterany,BL4,4,2,0.412442,0.367282,0.132611,0.046322,0.041342,1.936840
razocharovannye_veterany,BL5,1,2,0.323992,0.420685,0.080841,0.146532,0.027951,2.133765
razocharovannye_veterany,BL5,2,2,0.336145,0.420761,0.087495,0.133239,0.022360,2.084907
razocharovannye_veterany,BL5,3,2,0.327600,0.382949,0.052908,0.100367,0.136176,2.334570
razocharovannye_veterany,BL5,4,2,0.352729,0.425534,0.107255,0.099213,0.015268,1.998759
