segment,stimulus_id,respondent_idx,sample_idx,P1,P2,P3,P4,P5,E
naturalniki_bez_khimii,BL1,1,1,0.065997,0.294805,0.169702,0.398910,0.070585,3.113281
naturalniki_bez_khimii,BL1,1,2,0.072629,0.173240,0.149404,0.415481,0.189246,3.475474
naturalniki_bez_khimii,BL1,2,1,0.179087,0.306495,0.110247,0.230013,0.174158,2.913661
naturalniki_bez_khimii,BL1,2,2,0.267869,0.329322,0.115834,0.120375,0.166599,2.588513
naturalniki_bez_khimii,BL1,3,1,0.104316,0.249924,0.199555,0.397346,0.048860,3.036511
naturalniki_bez_khimii,BL1,3,2,0.085688,0.245751,0.225950,0.387772,0.054840,3.080324
naturalniki_bez_khimii,BL1,4,1,0.059541,0.263511,0.115538,0.480205,0.081206,3.260025
naturalniki_bez_khimii,BL1,4,2,0.130764,0.260056,0.108195,0.288368,0.212617,3.192019
naturalniki_bez_khimii,BL2,1,1,0.159346,0.378178,0.214168,0.243309,0.004998,2.556434
naturalniki_bez_khimii,BL2,1,2,0.161168,0.328972,0.140617,0.305873,0.063370,2.781304
naturalniki_bez_khimii,BL2,2,1,0.152789,0.334383,0.231974,0.278342,0.002512,2.643404
naturalniki_bez_khimii,BL2,2,2,0.224750,0.347025,0.182518,0.242844,0.002863,2.452045
naturalniki_bez_khimii,BL2,3,1,0.072736,0.217640,0.251287,0.444175,0.014162,3.109388
naturalniki_bez_khimii,BL2,3,2,0.088226,0.293212,0.224532,0.368192,0.025838,2.950202
naturalniki_bez_khimii,BL2,4,1,0.005416,0.202539,0.180868,0.516606,0.094571,3.492377
naturalniki_bez_khimii,BL2,4,2,0.068519,0.302546,0.208428,0.417297,0.003211,2.984135
naturalniki_bez_khimii,BL3,1,1,0.328229,0.503580,0.059739,0.070785,0.037667,1.986079
naturalniki_bez_khimii,BL3,1,2,0.316195,0.409803,0.031875,0.084370,0.157757,2.357693
naturalniki_bez_khimii,BL3,2,1,0.301040,0.402728,0.044420,0.063080,0.188732,2.435736
naturalniki_bez_khimii,BL3,2,2,0.290433,0.395255,0.126352,0.185779,0.002181,2.214019
naturalniki_bez_khimii,BL3,3,1,0.367431,0.439824,0.003244,0.082561,0.106940,2.121756
naturalniki_bez_khimii,BL3,3,2,0.107449,0.377118,0.086062,0.332172,0.097199,2.934554
naturalniki_bez_khimii,BL3,4,1,0.310749,0.411014,0.081488,0.192446,0.004303,2.168539
naturalniki_bez_khimii,BL3,4,2,0.357153,0.458546,0.050791,0.100130,0.033381,1.994040
naturalniki_bez_khimii,BL4,1,1,0.384411,0.396464,0.137835,0.079232,0.002058,1.918064
naturalniki_bez_khimii,BL4,1,2,0.372163,0.406012,0.143267,0.076206,0.002353,1.930575
naturalniki_bez_khimii,BL4,2,1,0.393725,0.348191,0.185807,0.069730,0.002547,1.939185
naturalniki_bez_khimii,BL4,2,2,0.424514,0.416281,0.136737,0.003731,0.018737,1.775898
naturalniki_bez_khimii,BL4,3,1,0.333006,0.355293,0.210086,0.099333,0.002282,2.082591
naturalniki_bez_khimii,BL4,3,2,0.430714,0.348724,0.112466,0.009262,0.098834,1.996778
naturalniki_bez_khimii,BL4,4,1,0.396876,0.387163,0.118458,0.013271,0.084232,2.000820
naturalniki_bez_khimii,BL4,4,2,0.442326,0.420746,0.085653,0.025478,0.025796,1.771673
naturalniki_bez_khimii,BL5,1,1,0.353639,0.488247,0.046347,0.099979,0.011787,1.928028
naturalniki_bez_khimii,BL5,1,2,0.223558,0.395829,0.141559,0.235649,0.003405,2.399514
naturalniki_bez_khimii,BL5,2,1,0.164270,0.324866,0.087317,0.303977,0.119569,2.889709
naturalniki_bez_khimii,BL5,2,2,0.290003,0.480454,0.075405,0.142873,0.011264,2.104941
naturalniki_bez_khimii,BL5,3,1,0.242030,0.391166,0.144503,0.219136,0.003165,2.350240
naturalniki_bez_khimii,BL5,3,2,0.307295,0.429941,0.101103,0.143902,0.017758,2.134887
naturalniki_bez_khimii,BL5,4,1,0.168349,0.399412,0.121374,0.272987,0.037877,2.612633
naturalniki_bez_khimii,BL5,4,2,0.368704,0.444976,0.052249,0.098544,0.035526,1.987211
razocharovannye_veterany,BL1,1,1,0.277382,0.363453,0.139664,0.175849,0.043652,2.344935
razocharovannye_veterany,BL1,1,2,0.186287,0.401201,0.139367,0.233304,0.039841,2.539212
razocharovannye_veterany,BL1,2,1,0.284058,0.355749,0.152806,0.204219,0.003168,2.286689
razocharovannye_veterany,BL1,2,2,0.233120,0.366713,0.179272,0.218529,0.002366,2.390308
