segment,stimulus_id,n_respondents,P1,P2,P3,P4,P5,E,ci_low,ci_high
naturalniki_bez_khimii,BL1,4,0.120736,0.265388,0.149303,0.339809,0.124764,3.082476,2.869821,3.260200
naturalniki_bez_khimii,BL2,4,0.116619,0.300562,0.204299,0.352080,0.026441,2.871161,2.608297,3.134025
naturalniki_bez_khimii,BL3,4,0.297335,0.424734,0.060496,0.138915,0.078520,2.276552,2.103938,2.439088
naturalniki_bez_khimii,BL4,4,0.397217,0.384859,0.141289,0.047030,0.029605,1.926948,1.871894,2.001325
naturalniki_bez_khimii,BL5,4,0.264731,0.419362,0.096232,0.189631,0.030044,2.300895,2.197808,2.433635
razocharovannye_veterany,BL1,4,0.254832,0.358932,0.150219,0.201021,0.034997,2.402420,2.362006,2.437300
razocharovannye_veterany,BL2,4,0.106637,0.259570,0.137755,0.365267,0.130771,3.153964,3.033781,3.320086
razocharovannye_veterany,BL3,4,0.345076,0.407699,0.039057,0.133981,0.074187,2.184503,2.072146,2.365153
razocharovannye_veterany,BL4,4,0.367128,0.347814,0.156464,0.096074,0.032520,2.079043,1.969924,2.178929
razocharovannye_veterany,BL5,4,0.335116,0.412482,0.082125,0.119838,0.050439,2.138000,2.032510,2.272154
